"No.","Time","Source","Destination","Protocol","Length","Info"
"3","13:49:14.091162","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x221a, seq=1/256, ttl=64 (reply in 5)"
"16","13:49:15.059420","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x221b, seq=1/256, ttl=64 (reply in 18)"
"24","13:49:16.064539","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x221c, seq=1/256, ttl=64 (reply in 26)"
"40","13:49:17.069657","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x221d, seq=1/256, ttl=64 (reply in 42)"
"51","13:49:19.079386","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x221f, seq=1/256, ttl=64 (reply in 53)"
"62","13:49:20.065569","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2220, seq=1/256, ttl=64 (no response found!)"
"71","13:49:21.061470","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2221, seq=1/256, ttl=64 (reply in 73)"
"76","13:49:22.064538","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2222, seq=1/256, ttl=64 (reply in 78)"
"84","13:49:22.673311","192.168.0.1","192.168.0.100","ICMP","159","Destination unreachable (Port unreachable)"
"88","13:49:22.676894","192.168.0.1","192.168.0.100","ICMP","159","Destination unreachable (Port unreachable)"
"92","13:49:22.679968","192.168.0.1","192.168.0.100","ICMP","159","Destination unreachable (Port unreachable)"
"96","13:49:22.683040","192.168.0.1","192.168.0.100","ICMP","159","Destination unreachable (Port unreachable)"
"796","13:49:24.059416","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"797","13:49:24.059417","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"798","13:49:24.059417","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"799","13:49:24.062489","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"803","13:49:24.084505","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"804","13:49:24.101913","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"805","13:49:24.110617","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"809","13:49:24.138265","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"810","13:49:24.138265","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"811","13:49:24.146970","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"812","13:49:24.148505","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"817","13:49:24.176666","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"818","13:49:24.176665","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"823","13:49:24.220187","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"824","13:49:24.225819","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"825","13:49:24.229915","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"829","13:49:24.268316","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"830","13:49:24.275485","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=1/256, ttl=64 (no response found!)"
"838","13:49:25.066076","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=2/512, ttl=64 (reply in 840)"
"842","13:49:25.070173","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2224, seq=2/512, ttl=64 (no response found!)"
"848","13:49:25.139292","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2225, seq=1/256, ttl=64 (reply in 850)"
"855","13:49:26.141339","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2226, seq=1/256, ttl=64 (reply in 857)"
"864","13:49:27.150556","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2227, seq=1/256, ttl=64 (reply in 866)"
"878","13:49:30.160282","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x222a, seq=1/256, ttl=64 (reply in 880)"
"888","13:49:31.159771","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x222b, seq=1/256, ttl=64 (reply in 890)"
"941","13:49:34.150552","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x222e, seq=1/256, ttl=64 (no response found!)"
"948","13:49:35.148506","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x222e, seq=2/512, ttl=64 (no response found!)"
