"No.","Time","Source","Destination","Protocol","Length","Info"
"17","14:43:59.359983","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be3, seq=1/256, ttl=64 (reply in 19)"
"26","14:44:00.346669","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be4, seq=1/256, ttl=64 (reply in 27)"
"52","14:44:01.360493","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be5, seq=1/256, ttl=64 (reply in 54)"
"66","14:44:02.344109","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be6, seq=1/256, ttl=64 (reply in 67)"
"76","14:44:03.360494","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be7, seq=1/256, ttl=64 (no response found!)"
"94","14:44:04.342573","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be8, seq=1/256, ttl=64 (reply in 96)"
"116","14:44:06.142394","192.168.0.1","192.168.0.100","ICMP","155","Destination unreachable (Port unreachable)"
"120","14:44:06.146491","192.168.0.1","192.168.0.100","ICMP","155","Destination unreachable (Port unreachable)"
"122","14:44:06.149562","192.168.0.1","192.168.0.100","ICMP","155","Destination unreachable (Port unreachable)"
"130","14:44:06.358444","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be9, seq=2/512, ttl=64 (no response found!)"
"140","14:44:07.360493","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be9, seq=3/768, ttl=64 (no response found!)"
"153","14:44:08.360493","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be9, seq=4/1024, ttl=64 (no response found!)"
"168","14:44:09.367150","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2be9, seq=5/1280, ttl=64 (no response found!)"
"177","14:44:10.435759","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bea, seq=1/256, ttl=64 (reply in 179)"
"190","14:44:11.419884","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2beb, seq=1/256, ttl=64 (reply in 192)"
"199","14:44:12.444973","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"201","14:44:12.444974","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"208","14:44:12.450093","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"219","14:44:12.455213","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"275","14:44:12.499245","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"276","14:44:12.502829","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"277","14:44:12.511534","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"278","14:44:12.511535","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"282","14:44:12.541229","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"283","14:44:12.541230","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"288","14:44:12.577069","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"289","14:44:12.580141","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"290","14:44:12.582701","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
"294","14:44:12.614957","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2bec, seq=1/256, ttl=64 (no response found!)"
